aX,aY,aZ,gX,gY,gZ
-0.214,0.280,2.198,30.884,-67.505,30.396
-0.231,0.205,2.008,30.090,-20.813,15.686
-0.225,0.126,1.717,32.043,17.700,5.005
-0.243,0.104,1.398,40.100,45.044,0.122
-0.264,0.096,1.110,46.143,58.167,-4.700
-0.249,0.007,0.910,44.861,57.068,-8.972
-0.230,-0.035,0.748,36.682,46.509,-7.996
-0.208,-0.041,0.710,24.841,27.832,-4.639
-0.210,-0.030,0.733,10.315,7.568,-1.465
-0.213,-0.006,0.843,-1.404,-11.169,0.610
-0.215,0.023,1.032,-9.521,-26.550,1.160
-0.196,0.018,1.174,-11.658,-34.363,0.000
-0.161,0.001,1.301,-11.597,-34.912,-2.014
-0.147,-0.011,1.407,-11.963,-29.724,-3.845
-0.138,-0.008,1.446,-8.972,-18.555,-5.127
-0.132,-0.025,1.417,-2.808,-3.967,-6.653
-0.151,-0.013,1.316,4.700,10.498,-8.240
-0.159,-0.050,1.192,7.751,22.156,-10.010
-0.137,-0.067,1.021,5.676,28.992,-9.766
-0.127,-0.082,0.937,2.991,28.381,-8.545
-0.124,-0.107,0.852,0.916,25.146,-6.653
-0.117,-0.069,0.809,-1.587,20.569,-3.052
-0.116,-0.081,0.822,-1.587,12.146,-1.587
-0.125,-0.053,0.831,-1.648,4.517,0.366
-0.126,-0.049,0.894,-2.686,-2.869,1.404
-0.135,-0.026,0.966,-2.075,-8.301,2.380
-0.136,-0.032,1.020,-3.296,-10.681,3.174
-0.137,-0.023,1.066,-4.395,-9.827,4.089
-0.141,-0.015,1.117,-3.540,-7.690,4.272
-0.150,0.005,1.097,-0.916,-3.662,4.456
-0.161,0.009,1.060,-0.916,-0.061,3.540
-0.152,-0.013,1.009,-2.258,2.686,1.648
-0.153,-0.009,0.973,-3.052,4.456,1.221
-0.152,-0.023,0.915,-1.770,5.188,1.099
-0.152,-0.028,0.907,1.160,3.357,0.916
-0.156,-0.034,0.910,3.418,0.427,0.854
