aX,aY,aZ,gX,gY,gZ
-0.145,-0.431,1.048,-2.014,-4.211,6.226
-0.152,-0.384,1.040,-2.686,-1.770,8.972
-0.156,-0.337,1.019,-2.747,0.244,9.949
-0.159,-0.303,1.004,-3.662,1.404,8.179
-0.160,-0.289,0.994,-3.723,1.892,4.578
-0.159,-0.288,0.972,-2.686,2.563,0.916
-0.147,-0.291,0.958,-2.014,2.686,-2.258

-0.586,0.702,1.637,5.554,18.311,-199.402
-0.735,0.768,1.861,4.333,37.842,-244.446
-0.972,0.402,2.094,-11.658,64.453,-301.575
-1.198,-0.120,2.407,-38.696,101.196,-361.023
-1.439,-0.822,2.631,-85.327,152.832,-396.729
-1.437,-1.440,2.739,-151.794,220.032,-394.470
-1.296,-1.579,2.811,-244.141,296.814,-349.609
-1.149,-1.529,2.370,-297.302,387.634,-288.330
-0.931,-1.495,1.630,-294.800,453.308,-235.474
-0.684,-1.443,0.912,-235.718,468.140,-177.307
-0.412,-1.390,0.320,-145.325,445.190,-116.882
-0.101,-1.127,-0.055,-46.875,394.653,-53.101
0.169,-1.002,-0.271,25.940,328.918,1.038
0.373,-1.189,-0.321,79.712,259.521,37.292
0.501,-1.395,-0.156,115.967,190.308,77.087
0.553,-1.498,-0.053,128.418,132.812,123.474
0.541,-1.525,0.031,152.832,83.435,171.204
0.369,-1.692,0.059,181.885,38.269,210.022
-0.015,-2.089,-0.109,234.497,-4.883,248.962
-0.429,-2.165,-0.242,317.627,-66.589,318.848
-0.632,-1.405,0.240,316.223,-140.503,423.645
-0.585,-0.250,0.381,265.747,-185.059,512.634
-0.391,0.976,0.461,236.023,-219.727,547.546
-0.203,1.639,0.666,200.806,-251.526,506.409
-0.080,1.573,0.888,144.165,-261.047,415.588
-0.042,1.308,0.749,93.506,-237.732,323.486
-0.105,0.721,0.394,72.021,-210.144,246.460
-0.151,0.462,0.163,76.111,-210.266,205.017
-0.213,0.650,0.324,113.403,-246.155,188.110
-0.313,0.850,0.493,156.799,-283.752,157.227
-0.449,0.914,0.612,184.631,-303.528,106.262
-0.597,0.685,0.621,192.139,-307.556,39.917
-0.716,0.403,0.632,194.153,-308.838,-21.484
-0.801,0.299,0.713,193.787,-312.744,-70.679
-0.892,0.237,0.959,194.519,-319.092,-117.676
-0.974,0.075,1.243,198.059,-318.176,-167.297
-1.080,-0.178,1.540,193.359,-302.551,-214.905
-1.117,-0.410,1.877,179.749,-272.034,-250.183
-1.128,-0.550,2.174,171.265,-224.487,-265.930
-1.091,-0.621,2.373,167.358,-160.461,-274.109
-1.099,-0.613,2.413,163.757,-80.566,-274.170
-1.068,-0.576,2.283,151.245,5.371,-269.165
-1.016,-0.515,2.146,134.338,92.285,-261.353
-1.014,-0.480,1.924,89.905,187.012,-255.615
-1.029,-0.510,1.411,26.489,280.273,-264.404
-0.928,-0.694,0.821,0.183,339.478,-291.565
-0.839,-1.017,0.455,-44.312,351.868,-312.317
-0.747,-1.369,0.247,-99.976,332.520,-304.749
-0.601,-1.528,0.148,-132.202,291.687,-266.846
-0.410,-1.441,0.217,-129.395,232.788,-202.087
-0.316,-1.143,0.337,-101.501,170.532,-132.812
-0.262,-0.791,0.476,-67.017,120.239,-79.712
-0.253,-0.610,0.633,-36.804,81.238,-52.917
-0.259,-0.605,0.740,-8.728,54.199,-41.382
-0.292,-0.625,0.804,11.475,36.560,-29.114
-0.275,-0.568,0.853,18.311,25.391,-12.939
-0.243,-0.521,0.929,11.597,14.893,-2.747
-0.234,-0.587,0.979,5.432,6.531,0.000
-0.232,-0.613,0.973,9.399,1.038,7.446
-0.230,-0.531,0.969,14.160,-3.235,21.240
-0.233,-0.442,1.003,15.991,-6.714,31.738
-0.235,-0.377,1.036,13.489,-7.751,37.415
-0.223,-0.307,1.016,11.658,-5.066,42.053
-0.210,-0.212,0.937,12.756,-1.953,45.654
-0.206,-0.160,0.892,14.954,-1.831,43.701
-0.215,-0.156,0.868,14.465,-4.333,37.415
-0.217,-0.125,0.857,14.404,-8.057,31.677
-0.222,-0.111,0.880,14.587,-13.245,25.818
-0.237,-0.142,0.919,12.268,-16.968,17.700
-0.247,-0.211,0.953,10.925,-18.311,9.277
-0.253,-0.290,0.981,11.169,-18.555,4.333
-0.255,-0.337,0.984,10.620,-16.296,3.601
