aX,aY,aZ,gX,gY,gZ
-0.074,-0.143,1.002,5.310,-1.404,7.751
-0.072,-0.158,1.002,7.996,-1.648,8.972
-0.070,-0.152,1.017,7.690,-2.502,9.949
-0.069,-0.148,1.013,7.690,-2.625,10.925
-0.068,-0.150,1.019,7.263,-2.747,11.719
-0.062,-0.135,1.028,7.019,-3.174,12.939
-0.072,-0.124,1.021,7.874,-2.869,13.000
-0.077,-0.135,1.027,8.118,-2.563,12.207
-0.079,-0.149,1.053,6.592,-2.197,11.902
-0.077,-0.135,1.036,7.324,-0.427,12.512
-0.078,-0.140,0.993,9.216,1.282,12.817
-0.069,-0.159,1.002,9.399,0.000,12.756
-0.045,-0.181,1.038,9.216,-1.648,13.611
-0.019,-0.215,1.026,12.573,-1.709,14.038
-0.015,-0.191,1.034,16.357,-1.953,15.076
-0.012,-0.139,1.055,20.569,-2.380,16.479
0.000,-0.045,1.064,25.574,-1.221,16.357
-0.033,0.136,1.055,29.236,1.404,13.611
-0.093,0.526,1.008,27.832,4.395,4.028
-0.206,1.087,0.991,16.479,2.869,-23.621
-0.510,1.507,0.735,6.653,-1.648,-87.952
-0.744,1.799,0.550,-2.380,-18.921,-187.683
-0.932,2.190,0.866,4.456,-68.298,-290.161
-1.239,2.065,1.298,16.479,-98.083,-407.471
-1.631,1.373,1.423,26.123,-75.500,-515.930
-1.859,0.505,1.335,57.861,-28.870,-580.444
-1.807,-0.203,1.315,96.497,17.151,-604.126
-1.544,-0.959,1.227,109.985,65.125,-610.352
-1.177,-1.629,1.230,116.150,97.473,-588.013

-0.307,-3.018,1.545,37.048,156.860,-457.336
0.147,-2.621,0.945,1.953,191.650,-301.575
0.335,-1.573,0.190,-30.212,201.599,-147.339
0.342,-0.818,-0.074,-57.800,155.273,-68.298
0.215,-0.716,0.300,-70.313,73.853,-56.824
0.083,-0.750,0.808,-72.998,11.292,-53.162
0.006,-0.617,1.015,-72.083,-11.108,-30.151
-0.014,-0.466,0.949,-62.073,-12.146,-5.371
-0.001,-0.357,0.933,-47.974,-16.663,11.047
-0.005,-0.263,0.946,-37.048,-21.790,22.583
-0.039,-0.196,0.944,-28.564,-21.667,31.738
-0.093,-0.118,1.026,-21.729,-21.301,39.124
-0.116,-0.060,1.070,-17.273,-17.090,43.518
-0.104,-0.041,1.012,-11.536,-10.742,46.753
-0.080,0.072,1.008,-3.723,-8.789,50.293
-0.080,0.018,1.023,4.456,-9.705,45.959
-0.080,-0.015,1.051,10.315,-10.437,41.199
-0.071,0.011,1.059,11.230,-9.888,40.405
-0.077,0.009,1.059,10.742,-9.033,37.537
-0.084,0.015,1.042,10.010,-8.118,34.668
-0.086,0.047,1.013,8.789,-7.629,31.738
-0.078,0.077,1.013,7.141,-8.362,27.039
-0.077,0.107,1.029,3.906,-8.972,22.156
-0.092,0.058,1.002,0.366,-6.470,16.418
-0.100,0.054,0.990,-0.854,-4.639,13.489
-0.106,0.070,0.992,2.014,-4.333,12.634
-0.120,0.073,1.010,5.066,-4.333,10.498
-0.128,0.063,1.031,5.737,-4.089,7.874
-0.126,0.049,1.046,5.188,-3.235,4.944
-0.118,0.036,1.060,5.676,-2.686,2.686
-0.101,0.016,1.052,5.737,-0.916,0.305
-0.095,-0.029,1.030,4.700,0.916,-2.319
-0.095,-0.047,1.014,3.906,1.465,-3.052
-0.100,-0.040,1.002,2.991,0.732,-2.869
-0.103,-0.042,1.022,0.916,-0.427,-3.418
-0.099,-0.069,1.049,0.244,-1.404,-4.272
-0.093,-0.092,1.029,-0.366,-0.244,-3.723
-0.086,-0.104,1.000,-0.610,1.343,-1.892
-0.075,-0.063,1.002,1.221,-0.061,0.916
-0.077,-0.036,1.013,1.343,-1.282,2.197
-0.088,-0.047,1.021,0.793,-2.136,1.526
-0.094,-0.050,1.032,0.610,-2.930,0.671
-0.094,-0.041,1.047,2.014,-3.174,0.183
-0.100,-0.046,1.040,3.174,-2.258,0.122
-0.094,-0.037,1.031,3.723,-0.854,0.427
-0.082,-0.009,1.013,4.272,0.122,1.160
-0.085,-0.009,1.008,3.357,0.671,0.488
-0.081,-0.031,1.000,2.014,0.305,-1.465
-0.078,-0.029,1.001,0.488,-0.610,-2.014
-0.077,-0.033,1.009,-0.061,-1.465,-2.563
-0.084,-0.026,1.016,-0.244,-1.587,-3.174
-0.093,-0.034,1.038,-0.488,-1.343,-3.906
-0.098,-0.034,1.028,0.671,0.183,-4.028
-0.087,-0.014,1.007,2.014,1.343,-3.357
-0.076,-0.002,1.025,1.831,0.671,-3.967
-0.080,-0.047,1.049,0.732,0.671,-6.226
-0.070,-0.073,1.022,0.366,1.953,-7.080
-0.058,-0.065,1.009,1.953,2.197,-6.348
-0.068,-0.083,1.036,2.808,0.732,-6.165
-0.079,-0.094,1.057,3.723,0.122,-6.165
-0.067,-0.079,1.060,5.798,0.916,-5.249
-0.068,-0.071,1.036,7.141,2.441,-4.211
-0.067,-0.086,1.030,5.371,3.052,-4.456
-0.064,-0.091,1.019,4.333,2.563,-4.272
-0.062,-0.096,1.020,3.906,1.770,-3.174
-0.064,-0.101,1.040,4.089,0.366,-2.258
-0.059,-0.068,1.047,4.761,-0.183,-0.977
-0.057,-0.047,1.032,4.578,0.183,-0.793
-0.061,-0.029,1.025,2.441,-0.183,-2.136
-0.073,-0.053,1.032,1.038,-1.221,-4.150
-0.083,-0.096,1.051,0.610,-2.014,-5.188
-0.077,-0.105,1.058,2.502,-2.197,-3.906
-0.060,-0.088,1.062,4.333,-2.075,-1.465
-0.055,-0.089,1.051,4.211,-1.343,0.000
-0.052,-0.087,1.036,2.625,-0.244,0.977
-0.048,-0.064,1.035,0.977,0.122,2.197
-0.056,-0.062,1.036,0.000,0.244,2.014
-0.060,-0.062,1.034,-0.854,0.244,1.221
-0.065,-0.056,1.046,-0.488,-0.427,1.221
-0.069,-0.065,1.055,0.854,0.061,0.854
-0.049,-0.055,1.055,2.563,0.793,1.160
-0.037,-0.030,1.041,3.601,1.526,1.709
-0.037,-0.059,1.021,3.601,2.380,0.183
-0.039,-0.039,1.045,0.610,1.770,-0.732
-0.056,-0.066,1.029,-0.610,1.831,-1.404
-0.053,-0.069,1.026,0.000,2.380,-2.197
-0.049,-0.012,1.045,0.549,2.197,-1.160
-0.070,-0.059,1.027,1.404,3.113,-2.136
-0.072,-0.058,1.032,0.916,3.540,-2.441
-0.068,-0.054,1.032,1.587,3.052,-1.221
-0.069,-0.023,1.053,1.465,2.563,-0.671
-0.078,-0.021,1.055,1.160,2.319,-1.831
-0.075,-0.002,1.046,0.977,3.662,-3.174
-0.065,-0.002,1.045,0.610,5.371,-4.700
-0.059,-0.048,1.026,-0.610,6.836,-6.287
-0.053,-0.073,0.999,-2.380,8.179,-6.958
-0.034,-0.015,1.007,-5.127,8.057,-5.859
-0.036,0.017,1.022,-10.071,8.850,-6.165
-0.042,0.007,1.024,-13.672,11.169,-9.399
-0.059,0.002,1.019,-16.602,13.611,-12.512
-0.072,-0.015,1.018,-16.968,15.259,-14.465
-0.069,-0.081,1.016,-16.052,15.686,-15.503
-0.041,-0.071,0.997,-16.235,15.747,-12.085
-0.018,-0.284,1.044,-16.418,14.771,-4.578
-0.049,0.168,0.997,-35.889,21.423,11.047
-0.046,0.072,0.908,-30.334,24.658,4.211
-0.030,-0.009,1.053,-14.465,12.512,-8.484
-0.031,-0.033,1.077,-13.245,11.780,-10.925
-0.033,-0.019,1.021,-14.404,16.724,-9.827
-0.029,0.001,1.019,-9.155,15.747,-8.911
-0.021,0.027,0.965,-8.789,15.198,-9.155
-0.040,0.028,0.955,-12.512,11.230,-9.094
-0.030,0.027,0.961,-11.902,4.883,-10.498
-0.048,0.004,1.003,-7.812,-0.793,-11.169
-0.049,0.042,0.988,-2.441,-3.113,-8.667
-0.045,-0.000,0.960,1.953,-4.822,-7.446
-0.057,-0.109,0.965,1.770,-7.507,-6.775
-0.106,-0.479,1.001,2.747,-10.437,-4.822
-0.189,-1.058,0.837,2.502,-11.780,11.780

-0.298,-1.654,1.025,30.457,-38.513,125.854
-0.420,-1.547,1.149,47.180,-47.852,207.397
-0.451,-1.397,1.355,36.804,-45.593,284.851
-0.230,-0.736,1.485,40.833,-40.100,361.084
-0.116,-0.061,1.351,53.650,-29.541,414.429
-0.072,0.216,1.270,36.194,-8.911,421.326
-0.095,0.519,1.188,15.686,11.963,410.522
-0.139,0.653,0.979,-0.549,39.795,377.075
-0.237,0.684,0.539,-13.489,57.983,329.163
-0.401,0.588,0.359,-13.977,38.452,281.433
-0.558,0.385,0.517,-0.732,-7.385,240.479
-0.652,0.346,0.655,10.193,-44.312,216.919
-0.589,0.522,0.823,22.888,-74.829,205.505
-0.473,0.704,1.130,32.532,-99.426,184.387
-0.340,0.579,1.290,27.344,-106.445,147.644
-0.231,0.562,1.381,27.954,-93.323,112.915
-0.197,0.387,1.257,5.066,-56.641,82.092
-0.132,0.255,1.203,2.319,-35.095,55.176
-0.109,0.070,1.067,6.775,-15.808,36.194
-0.046,-0.021,0.970,4.333,-5.005,29.358
-0.047,-0.059,0.888,0.305,-5.676,29.419
-0.019,-0.122,0.906,-5.310,-15.198,28.259
0.019,0.000,1.014,-9.399,-23.315,29.480
0.008,0.097,1.060,-8.484,-22.888,29.175
-0.056,0.022,1.098,-3.296,-19.470,18.982
-0.115,-0.026,1.113,1.892,-13.367,12.268
-0.158,-0.086,1.080,1.709,-3.906,9.338
-0.153,-0.125,1.074,-0.549,2.563,7.690
-0.141,-0.177,1.062,-0.427,4.456,7.202
-0.144,-0.209,1.067,-1.587,4.395,8.362
-0.101,-0.165,1.099,-3.113,3.357,12.329
-0.097,-0.109,1.106,-1.465,3.662,15.930
-0.111,-0.106,1.102,0.061,5.127,15.930
-0.121,-0.100,1.120,-0.488,7.202,15.442
-0.125,-0.068,1.137,-0.305,9.216,15.503
-0.149,-0.090,1.106,1.221,11.780,13.123
-0.130,-0.110,1.073,0.000,14.526,11.902
-0.093,-0.103,1.044,-1.038,15.320,12.512
