aX,aY,aZ,gX,gY,gZ
-0.043,-0.360,0.977,5.310,-0.854,-5.005
-0.033,-0.395,0.979,4.150,0.122,-5.798
-0.029,-0.397,0.994,3.296,0.000,-4.639
-0.027,-0.377,0.969,3.296,1.221,-2.319
-0.031,-0.360,0.962,3.418,1.038,-0.244
-0.030,-0.368,0.947,3.906,0.916,0.000
-0.029,-0.384,0.970,4.150,-0.977,0.061
-0.035,-0.394,1.000,3.357,-1.709,0.671
-0.047,-0.397,1.005,3.418,-0.427,1.221
-0.053,-0.388,0.987,2.869,1.953,2.808
-0.047,-0.359,0.961,2.319,3.723,3.418
-0.042,-0.330,0.955,2.686,2.380,2.747
-0.045,-0.342,0.946,2.747,0.854,0.488
-0.050,-0.354,0.952,3.052,-0.732,-0.793
-0.052,-0.383,0.974,3.174,-2.136,-1.648
-0.047,-0.392,0.989,2.686,-1.526,-1.282
-0.048,-0.385,0.994,2.380,0.000,-0.549
-0.050,-0.370,0.994,2.380,1.099,-0.183
-0.050,-0.381,0.976,1.709,2.197,-0.122
-0.045,-0.368,0.962,1.587,2.930,0.671
-0.048,-0.325,0.961,2.258,2.625,1.587
-0.056,-0.337,0.942,3.723,1.953,0.122
-0.051,-0.365,0.935,4.211,1.465,-1.770
-0.045,-0.360,0.988,4.578,-0.854,-2.502
-0.048,-0.348,0.997,4.578,-0.854,-3.235
-0.046,-0.362,0.999,4.395,0.732,-4.456
-0.045,-0.390,0.969,4.272,2.258,-5.005
-0.041,-0.413,0.948,3.723,2.258,-4.395
-0.034,-0.399,0.958,2.991,0.610,-2.136
-0.033,-0.359,0.979,3.052,-0.916,0.244
-0.038,-0.378,0.971,2.258,-0.549,0.122
-0.038,-0.373,0.974,2.014,-0.244,0.427
-0.034,-0.339,0.968,2.686,-0.244,1.282
-0.038,-0.359,0.958,2.563,0.244,0.305
-0.034,-0.367,0.964,1.648,0.000,-0.061
-0.034,-0.360,0.973,2.075,-0.244,0.183
-0.040,-0.340,0.980,2.747,0.305,0.183
-0.040,-0.357,0.959,2.563,0.732,-0.305
-0.034,-0.353,0.960,3.296,0.488,-0.732
-0.032,-0.341,0.963,4.211,0.061,-1.099
-0.031,-0.356,0.948,4.700,0.061,-1.953
-0.032,-0.375,0.956,4.944,-1.221,-2.686
-0.031,-0.381,0.956,4.761,-1.709,-2.136
-0.032,-0.369,0.972,4.272,-1.892,-0.854
-0.034,-0.366,0.964,4.028,-1.099,0.000
-0.031,-0.376,0.970,3.906,-0.916,0.488
-0.031,-0.375,0.964,3.662,-1.221,1.038
-0.036,-0.366,0.979,3.723,-1.770,1.282
-0.041,-0.367,0.993,3.967,-1.831,0.916
-0.038,-0.365,0.984,3.967,-0.488,0.916
-0.038,-0.372,0.966,4.578,0.244,0.549
-0.031,-0.344,0.964,4.761,-0.122,0.671
-0.031,-0.390,0.968,3.723,-0.549,-0.610
-0.027,-0.392,0.967,3.479,-0.793,-0.305
-0.032,-0.367,0.978,4.028,-1.221,1.404
-0.033,-0.359,0.963,4.639,-1.465,1.892
-0.041,-0.363,0.968,3.479,-1.709,1.648
-0.042,-0.368,0.974,2.991,-2.014,0.793
-0.041,-0.382,0.962,2.808,-1.282,0.000
-0.032,-0.375,0.970,1.892,-1.526,-0.122
-0.035,-0.372,0.966,2.075,-1.587,0.061
-0.032,-0.380,0.957,2.563,-1.221,0.244
-0.029,-0.381,0.962,2.991,-1.831,0.732
-0.035,-0.367,0.979,3.479,-2.869,1.343
-0.045,-0.364,0.995,3.540,-3.235,1.221
-0.049,-0.381,0.991,2.991,-2.502,0.427
-0.043,-0.393,0.984,2.380,-1.709,-0.122
